data,confirmados_arsalgarve_diff
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,0
2020-03-11,1
2020-03-12,2
2020-03-13,1
2020-03-14,1
2020-03-15,3
2020-03-16,3
2020-03-17,1
2020-03-18,7
2020-03-19,4
2020-03-20,4
2020-03-21,2
2020-03-22,4
2020-03-23,7
2020-03-24,4
2020-03-25,16
2020-03-26,27
2020-03-27,10
2020-03-28,7
2020-03-29,2
2020-03-30,8
2020-03-31,21
2020-04-01,9
2020-04-02,18
2020-04-03,15
2020-04-04,3
2020-04-05,19
2020-04-06,28
2020-04-07,5
2020-04-08,17
2020-04-09,9
2020-04-10,19
2020-04-11,0
2020-04-12,0
2020-04-13,5
2020-04-14,5
2020-04-15,6
2020-04-16,5
2020-04-17,5
2020-04-18,1
2020-04-19,4
2020-04-20,1
2020-04-21,2
2020-04-22,3
2020-04-23,2
2020-04-24,2
2020-04-25,0
2020-04-26,2
2020-04-27,6
2020-04-28,2
2020-04-29,0
2020-04-30,1
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,2
2020-05-05,2
2020-05-06,7
2020-05-07,1
2020-05-08,2
2020-05-09,0
2020-05-10,1
2020-05-11,2
2020-05-12,2
2020-05-13,1
2020-05-14,3
2020-05-15,1
2020-05-16,1
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,1
2020-05-22,1
2020-05-23,3
2020-05-24,0
2020-05-25,0
2020-05-26,2
2020-05-27,0
2020-05-28,3
2020-05-29,0
2020-05-30,1
2020-05-31,3
2020-06-01,2
2020-06-02,0
2020-06-03,4
2020-06-04,0
2020-06-05,4
2020-06-06,2
2020-06-07,7
2020-06-08,0
2020-06-09,0
2020-06-10,2
2020-06-11,0
2020-06-12,2
2020-06-13,0
2020-06-14,2
2020-06-15,4
2020-06-16,8
2020-06-17,6
2020-06-18,35
2020-06-19,32
2020-06-20,19
